hijk8901,지연,오늘 출근을 위해 지하철을 이용했는데, 열차가 예정 시간보다 30분이나 늦게 도착하여 출근 시간을 놓쳤습니다. 지하철 운행에 대한 신속한 조치를 요청합니다.
efgh5678,혼잡,"러시아워 시간대에 이용한 지하철은 매우 혼잡했습니다. 승객들이 밀려서 서서 이동해야 했고, 안전에 대한 우려가 있습니다. 혼잡을 완화하기 위한 대책을 마련해주십시오."
ijkl9012,시설 불량,"지하철 역사 내 화장실이 심각하게 더러웠습니다. 화장실은 청결한 환경을 유지해야 하며, 이에 대한 개선 조치가 필요합니다."
mnop3456,열차 내 냄새,"열차 안에서 불쾌한 냄새가 계속해서 나서, 이동하는 동안 불편함을 겪었습니다. 열차 내 청결과 냄새 관리에 대한 강화된 조치가 필요합니다."
qrst7890,편의 시설 부족,지하철 역사 내에 자전거 주차 시설이 부족하여 자전거를 안전하게 보관하기가 어렵습니다. 더 많은 자전거 주차대를 마련해주십시오.,읽음
uvwx2345,시설 고장,지하철 역사 내 엘리베이터가 고장으로 작동하지 않아 휠체어 이용자들에게 불편을 줍니다. 엘리베이터의 수리가 시급합니다.,읽음
yzab6789,안전 문제,지하철 열차 안에 비상 탈출문이 열리지 않는 것을 목격했습니다. 이는 비상 상황에서 승객의 안전을 위협합니다. 비상 탈출문의 작동 여부를 확인하고 개선해주십시오.,읽음
cdef0123,열차 내 환기 부족,열차 안에서 공기가 매우 답답하고 환기가 잘 되지 않았습니다. 승객들의 안락한 이동을 위해 열차 내 환기 시스템을 개선해주십시오.,안읽음
ghij4567,휠체어 접근성,지하철 역사 내 휠체어 이용자들을 위한 출입구 접근성이 불충분합니다. 더 많은 휠체어 접근 가능한 출입구를 마련해주십시오.,안읽음
klmn8901,열차 내 충전 시설 부족,열차 안에 모바일 충전을 위한 콘센트가 부족하여 승객들이 휴대전화를 충전하기가 어렵습니다. 더 많은 충전 시설을 설치해주십시오.,안읽음
opqr2345,고장난 자동문,열차 내 자동문 중 하나가 고장으로 열리지 않아 승객들의 이동이 제한되었습니다. 자동문의 정비가 필요합니다.,안읽음
stuv6789,정보 부족,열차 내에 방향 안내 시스템이 작동하지 않아 목적지에 도착하는데 어려움을 겪었습니다. 승객들을 위한 명확한 안내 시스템이 필요합니다.,안읽음
wxyz0123,열차 내 청결 부족,열차 안이 매우 더럽고 쓰레기로 가득 차 있어 승객들이 불편함을 느끼고 있습니다. 열차 내 청결 관리를 강화해주십시오.,안읽음
bcde4567,시설 낙후,지하철 역사 내 화장실이 낡아서 사용하기 어렵습니다. 시설을 개선하여 승객들의 편의를 증진시켜주십시오.,안읽음
fghi8901,불친절한 직원,지하철 역사 직원이 불친절하여 승객들의 불편함을 초래했습니다. 서비스 태도에 대한 교육이 필요합니다.,안읽음
jklm2345,열차 내 조명 불량,열차 안의 조명이 꺼져있어 승객들이 불안해하고 있습니다. 조명 수리가 필요합니다.,안읽음
nopq6789,화재 경보,열차 내에서 화재 경보가 울리는데 실제 화재가 발생하지 않았습니다. 화재 경보 시스템의 점검이 필요합니다.,안읽음
rstu0123,앉는 자리 부족,러시아워 시간대에는 열차 안의 앉는 자리가 부족하여 승객들이 서서 이동해야 했습니다. 좌석을 추가해주십시오.,안읽음
vwxy4567,열차 내 온도 조절 불량,열차 내 온도가 너무 높아 승객들이 불편함을 겪고 있습니다. 온도 조절 시스템을 조정해주십시오.,안읽음
zabc8901,약속 시간 미준수,지하철 열차가 약속한 시간에 도착하지 않아 중요한 일정을 놓치게 되었습니다. 정확한 운행 스케줄을 유지해주십시오.,안읽음
defg2345,열차 내 광고 소음,열차 내에서 무차별적인 광고 소음이 계속해서 나와 승객들이 불편함을 겪고 있습니다. 광고 소음을 줄이는 방안을 강구해주십시오.,안읽음
hijk6789,착석 공간 부족,열차 안에서 착석할 공간이 부족하여 승객들이 혼잡함을 겪고 있습니다. 착석 공간을 더 확보해주십시오.,안읽음
lmno0123,열차 내 와이파이 문제,열차 내 와이파이 연결이 불안정하여 승객들이 이용하기 어렵습니다. 와이파이 서비스를 개선해주십시오.,안읽음
pqrs4567,음성 안내 불가능,열차 내 음성 안내 시스템이 작동하지 않아 시각적으로 정보를 확인할 수 없는 승객들에게 불편함을 초래합니다. 음성 안내 시스템을 복구해주십시오.,안읽음
tuvw8901,열차 내 장애 시설 부족,열차 안에 장애인을 위한 시설이 부족하여 휠체어 이용자들이 불편함을 겪고 있습니다. 장애 시설을 추가해주십시오.,안읽음
xyza2345,열차 내 CCTV 불량,열차 안의 CCTV 카메라 중 하나가 고장으로 작동하지 않아 승객들의 안전에 대한 우려가 있습니다. CCTV 시스템을 수리해주십시오.,안읽음
bcde6789,지연 공지 미투명,열차 지연에 대한 공지가 늦게 이루어져 승객들이 혼란스러워하고 있습니다. 미리 알리는 시스템을 개선해주십시오.,안읽음
fghi0123,열차 내 유실물 처리 미비,열차 내에서 물건을 유실한 후 관련 부서에 연락했으나 처리가 늦어지고 있습니다. 유실물 처리 과정을 개선해주십시오.,안읽음
jklm4567,플랫폼 혼잡,열차가 도착한 플랫폼이 매우 혼잡하여 승객들이 안전한 이동을 보장받기 어렵습니다. 플랫폼 혼잡을 해소하기 위한 조치가 필요합니다.,안읽음
nopq8901,미숙한 운전 행위,열차 운전사가 과속이나 급제동을 하여 승객들의 안전에 위험을 초래했습니다. 운전사들의 안전 운전 교육을 강화해주십시오.,안읽음
rstu2345,역내 시설 불량,지하철 역사 내 화장실이 고장으로 사용이 불가능하여 승객들이 불편을 겪고 있습니다. 화장실 수리가 시급합니다.,안읽음
vwxy6789,출입구 혼잡,지하철 출입구 주변이 혼잡하여 이동이 원활하지 않습니다. 출입구 주변 인프라를 개선해주십시오.,안읽음
zabc0123,역내 청결 부족,지하철 역사 내 쓰레기통이 너무 가득 차있어서 더 이상 쓰레기를 버릴 수 없습니다. 역내 청소를 강화해주십시오.,안읽음
defg4567,휠체어 이용 불가,지하철 역사에 휠체어 이용자를 위한 승강기가 없어서 이용이 불편합니다. 휠체어 이용을 고려하여 시설을 개선해주십시오.,안읽음
hijk8901,역사 내 표지판 불충분,지하철 역사 내 방향을 안내하는 표지판이 부족하여 승객들이 혼란스러워하고 있습니다. 더 많은 표지판을 설치해주십시오.,안읽음
lmno2345,엘리베이터 고장,지하철 역사 내 엘리베이터가 고장으로 작동하지 않아 휠체어 이용자와 노약자들이 이동에 어려움을 겪고 있습니다. 엘리베이터 수리가 시급합니다.,안읽음
pqrs6789,역내 소음 문제,지하철 역사 주변에서 발생하는 소음이 너무 시끄러워서 주변 주거민들에게 불편을 줍니다. 소음 관리를 강화해주십시오.,안읽음
tuvw0123,화장실 청결 부족,지하철 역사 내 화장실이 너무 더럽고 냄새가 나서 사용하기가 꺼려집니다. 화장실 청소를 더 자주 해주십시오.,안읽음
xyza4567,열차 지연,지하철 열차가 예정된 시간에 도착하지 않아 출퇴근에 불편을 겪고 있습니다. 열차 운행 시간을 준수해주십시오.,안읽음
bcde8901,승강기 오작동,지하철 역사 내 승강기가 오작동하여 이용자들의 안전에 문제가 생기고 있습니다. 승강기 정비가 시급합니다.,안읽음
fghi2345,혼잡한 승강장,지하철 역사 내 승강장이 혼잡하여 이용자들의 이동이 원활하지 않습니다. 승강구 인프라를 강화해주십시오.,안읽음
jklm6789,역사 내 환기 문제,지하철 역사 내 환기 시스템이 제대로 작동하지 않아서 공기가 더러워지고 불쾌합니다. 환기 시스템을 점검해주십시오.,안읽음
nopq0123,지하철 안내 시스템 오류,지하철 역사 내 안내 시스템이 오류로 인해 정확한 정보를 제공하지 못하고 있습니다. 시스템을 복구해주십시오.,안읽음
rstu4567,무효화된 입구 카드 리더기,지하철 역사 입구의 카드 리더기 중 일부가 무효화되어 이용자들이 카드를 사용할 수 없습니다. 리더기를 수리해주십시오.,안읽음
vwxy8901, 엘리베이터 유무 정보 부족,지하철 역사 출입구에 엘리베이터가 있는지에 대한 정보가 부족하여 휠체어 이용자들이 불편함을 겪고 있습니다. 정보를 제공해주십시오.,안읽음
zabc2345,역사 내 조명 장애,지하철 역사 내 조명이 갑자기 꺼져서 승객들이 불안해합니다. 조명을 수리해주십시오.,안읽음
defg6789,승강기 안내 부족,지하철 역사 내 승강기를 사용하는 방법에 대한 안내가 부족하여 승객들이 불편함을 겪고 있습니다. 안내를 추가해주십시오.,안읽음
hijk0123,승강기 안전 문제,지하철 역사 내 승강기가 작동 중에 갑자기 멈추어서 이용자들의 안전에 위협을 줍니다. 승강기를 점검해주십시오.,안읽음
lmno4567,역사 내 방범 시설 미비,지하철 역사 내 CCTV가 부족하여 범죄 예방에 취약합니다. 방범 시설을 강화해주십시오.,안읽음
pqrs8901,역사 내 길찾기 안내 부족,지하철 역사 내 길찾기 안내가 부족하여 이용자들이 혼란스러워합니다. 길찾기 안내를 강화해주십시오.,안읽음
